 LAT      LON      ALT   CLAVE     EDO  ESTACION                                  INICIO
 19.41   -96.52      100   30068    VER  LOS IDOLOS                               1963-05
 17.96   -94.72       46   30077    VER  JALTIPAN DE MORELOS                      1961-01
 17.42   -94.91       22   30090    VER  LAS PERLAS                               1962-09
 20.08   -97.06       50   30102    VER  MARTINEZ DE LA TORRE (DGE)               1954-12
 19.93   -96.86      410   30108    VER  MISANTLA                                 1951-01
 19.65   -96.87     1470   30114    VER  NAOLINCO DE VICTORIA                     1955-08
 20.45   -97.33      190   30125    VER  PAPANTLA                                 1952-01
 21.27   -98.37       57   30130    VER  PLATON SANCHEZ                           1960-05
 19.35   -96.56      313   30141    VER  RINCONADA                                1951-01
 17.88   -95.14       18   30147    VER  SAN JUAN EVANGELISTA (DGE)               1970-09
 18.27   -95.56       20   30152    VER  GARRO                                    1961-01
 17.87   -94.09       29   30167    VER  TANCOCHAPA                               1951-01
 21.52   -98.41       72   30176    VER  TEMPOAL DE SANCHEZ                       1960-01
 18.25   -95.36       13   30185    VER  LAUCHAPAN                                1951-01
 19.36   -96.37       28   30193    VER  JOSE CARDEL                              1951-01
 19.64   -97.11     2400   30211    VER  LAS VIGAS                                1951-01
 18.65   -95.53       10   30216    VER  NARANJAL                                 1958-08
 17.43   -95.02       22   30224    VER  JESUS CARRANZA                           1951-01
 22.06   -98.18       60   30285    VER  PANUCO (DGE)                             1975-04
 18.44   -95.18      300   30302    VER  SIHUAPAN                                 1976-04
 21.08   -89.28        7   31020    YUC  MOTUL                                    1952-08
 20.49   -89.71       29   31021    YUC  MUNA                                     1958-07
 20.12   -88.95       35   31022    YUC  PETO (DGE)                               1959-11
 21.59   -88.15        4   31024    YUC  RIO LAGARTOS                             1962-05
 21.15   -88.16       14   31034    YUC  TIZIMIN                                  1969/05
 21.11   -89.45       20   31056    YUC  MOCOCHA                                  1977/03
 20.29   -89.39       26   31061    YUC  OXCUTZCAB                                1977-01
 22.00  -102.89     1620   32013    ZAC  EL CHIQUE                                1961-01
 21.65  -103.34     1740   32019    ZAC  EXCAME                                   1951-01
 21.60  -103.34     1790   32032    ZAC  LA VILLITA                               1957-07
 24.32  -102.89     1680   32049    ZAC  SAN FRANCISCO (SMN)                      1951-01
 22.93  -103.11     2150   32053    ZAC  SANTA ROSA                               1951-01
 23.63  -103.64     2351   32054    ZAC  SOMBRERETE (DGE)                         1951-01
 22.10  -102.87     1549   32055    ZAC  TAYAHUA                                  1965-06
 22.76  -102.58     2485   32086    ZAC  ZACATECAS (DGE)                          1961-01
